compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
Costunolide,,,,C15H20O2,0.0,KNApSAcK,C00003240,Magnolia virginiana,,,gold,Magnolia,2026-05-28T23:05:25Z
Micheliolide,,,,C15H20O3,0.0,KNApSAcK,C00003328,Magnolia grandiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Parthenolide,,,,C15H20O3,0.0,KNApSAcK,C00003345,Magnolia virginiana,,,gold,Magnolia,2026-05-28T23:05:25Z
Parthenolide,,,,C15H20O3,0.0,KNApSAcK,C00003345,Magnolia praecocissima,,,gold,Magnolia,2026-05-28T23:05:25Z
Parthenolide,,,,C15H20O3,0.0,KNApSAcK,C00003345,Magnolia grandiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Santamarin,,,,C15H20O3,0.0,KNApSAcK,C00003363,Magnolia grandiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
(-)-beta-Sitosterol,,,,C29H50O,0.0,KNApSAcK,C00003672,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
(-)-beta-Sitosterol,,,,C29H50O,0.0,KNApSAcK,C00003672,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Kaempferol,,,,C15H10O6,0.0,KNApSAcK,C00004565,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Kaempferol,,,,C15H10O6,0.0,KNApSAcK,C00004565,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Quercetin,,,,C15H10O7,0.0,KNApSAcK,C00004631,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Quercetin,,,,C15H10O7,0.0,KNApSAcK,C00004631,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Quercetin 3-rutinoside,,,,C27H30O16,0.0,KNApSAcK,C00005413,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
